iter	RMSE
0	2.118159702
1	2.091454957
2	2.067586642
3	2.045843096
4	2.026458292
5	2.008772152
6	1.992317996
7	1.978512532
8	1.963620766
9	1.950811045
10	1.939322225
11	1.928913081
12	1.918073538
13	1.909239947
14	1.899482667
15	1.892454468
16	1.884977561
17	1.878619044
18	1.872494914
19	1.866739954
20	1.861422357
21	1.857275902
22	1.852520653
23	1.848469852
24	1.844942116
25	1.841891033
26	1.838658523
27	1.836331915
28	1.83396094
29	1.831610843
30	1.829744358
31	1.826872126
32	1.825093743
33	1.823469016
34	1.82128236
35	1.819690636
36	1.818367199
37	1.817349671
38	1.81596185
39	1.815001323
40	1.814247762
41	1.813317596
42	1.812081755
43	1.811413761
44	1.810647607
45	1.809458974
46	1.808530912
47	1.808303116
48	1.807273733
49	1.806503059
50	1.805840312
51	1.805360697
52	1.805335143
53	1.804219577
54	1.803769077
55	1.80372498
56	1.802498428
57	1.801805408
58	1.801304128
59	1.799936882
60	1.799673534
61	1.799101221
62	1.797910722
63	1.797700983
64	1.79738666
65	1.796756918
66	1.796000308
67	1.79560339
68	1.795042355
69	1.794667606
70	1.793675338
71	1.793186827
72	1.792721989
73	1.791940748
74	1.790676044
75	1.790559894
76	1.790370741
77	1.789360329
78	1.789037998
79	1.788423914
80	1.787293247
81	1.786400089
82	1.785808182
83	1.785192956
84	1.7837425
85	1.783585673
86	1.783192659
87	1.782913027
88	1.782067371
89	1.781894972
90	1.781687137
91	1.781508317
92	1.780612592
93	1.780424499
94	1.77981767
95	1.77883822
96	1.777919255
97	1.777297073
98	1.777187738
99	1.776750788
100	1.775663407
101	1.775363694
102	1.774945743
103	1.774124016
104	1.773995263
105	1.7737206
106	1.773096918
107	1.772903666
108	1.772392211
109	1.772159284
110	1.771917421
111	1.771905213
112	1.771472657
113	1.771174528
114	1.771114362
115	1.770745975
116	1.76966375
117	1.769593231
118	1.769217403
119	1.768934101
120	1.768418717
121	1.768418239
122	1.767934028
123	1.767513284
124	1.76740388
125	1.767402663
126	1.766866223
127	1.766680674
128	1.766669322
129	1.766285224
130	1.765816563
131	1.765433629
132	1.765161887
133	1.764423911
134	1.763738588
135	1.763075101
136	1.762666553
137	1.761570673
138	1.761528143
139	1.76137
140	1.761228628
141	1.760777256
142	1.760351252
143	1.760315932
144	1.759836964
145	1.759586802
146	1.759289855
147	1.758906242
148	1.758876729
149	1.758519193
150	1.758411177
151	1.758276224
152	1.758129263
153	1.757930553
154	1.757916439
155	1.757898128
156	1.757895245
157	1.757603415
158	1.757594515
159	1.757466559
160	1.757371686
161	1.756792376
162	1.756453179
163	1.755568705
164	1.755119888
165	1.755003133
166	1.754540166
167	1.754185518
168	1.753884092
169	1.753181914
170	1.753180718
171	1.753059027
172	1.75298314
173	1.752831956
174	1.752687808
175	1.751444811
176	1.750933646
177	1.750827774
178	1.750022935
179	1.749396831
180	1.747986296
181	1.747875629
182	1.746850113
183	1.746577411
184	1.746321999
185	1.745885008
186	1.745138006
187	1.744763497
188	1.744184017
189	1.743935357
190	1.743835143
191	1.743442616
192	1.74331199
193	1.742798093
194	1.74259644
195	1.741949228
196	1.741711879
197	1.741452924
198	1.740451904
199	1.739867265
200	1.739660962
201	1.738665536
202	1.738417084
203	1.7371435
204	1.736796222
205	1.736427684
206	1.736151014
207	1.735880654
208	1.735247999
209	1.73501845
210	1.734797461
211	1.734478693
212	1.734291358
213	1.733693156
214	1.73295675
215	1.732462891
216	1.732391124
217	1.731941348
218	1.731770431
219	1.731123049
220	1.73069805
221	1.730273333
222	1.729475593
223	1.72859326
224	1.72817352
225	1.727790029
226	1.72696935
227	1.726853407
228	1.726587181
229	1.726109086
230	1.725472762
231	1.725150667
232	1.724651664
233	1.724467299
234	1.723969794
235	1.723404073
236	1.723260918
237	1.72229743
238	1.722203234
239	1.721518038
240	1.721359611
241	1.721186706
242	1.720730474
243	1.720698918
244	1.719921779
245	1.719567859
246	1.719111107
247	1.718958689
248	1.718604676
249	1.718056029
250	1.717892198
251	1.71775893
252	1.717217632
253	1.716791015
254	1.71639833
255	1.716394418
256	1.715958327
257	1.715413792
258	1.714562279
259	1.714445356
260	1.713564744
261	1.713227117
262	1.713220605
